站点名称,河流,监测时间,高锰酸盐指数,氨氮,总磷,浊度,溶解氧,pH,生物毒性,水质类别,考核水质类别,不达标因子,crawling_time
黄龙溪,府河,2020-05-29 00,3.80,0.220,0.136,71.1,6.97,7.55,--,III,Ⅴ,-,2020-05-29 03:05:03
黄龙溪,府河,2020-05-29 04,3.70,0.210,0.130,68.4,7.33,7.57,--,III,Ⅴ,-,2020-05-29 07:05:02
黄龙溪,府河,2020-05-29 08,3.10,0.200,0.138,64.1,7.41,7.58,--,III,Ⅴ,-,2020-05-29 11:05:03
黄龙溪,府河,2020-05-29 12,3.40,0.170,0.131,68.7,7.34,7.55,--,III,Ⅴ,-,2020-05-29 15:05:02
黄龙溪,府河,2020-05-29 16,3.10,0.150,0.146,70.2,7.32,7.60,--,III,Ⅴ,-,2020-05-29 19:05:03
黄龙溪,府河,2020-05-29 20,3.00,0.140,0.122,63.5,7.43,7.61,--,III,Ⅴ,-,2020-05-29 23:05:03
黄龙溪,府河,2020-05-30 00,3.10,0.150,0.132,58.0,6.98,7.59,--,III,Ⅴ,-,2020-05-30 03:05:03
黄龙溪,府河,2020-05-30 04,3.10,0.150,0.127,61.6,7.10,7.60,--,III,Ⅴ,-,2020-05-30 07:05:02
黄龙溪,府河,2020-05-30 08,3.40,0.150,0.133,66.8,7.15,7.62,--,III,Ⅴ,-,2020-05-30 11:05:02
黄龙溪,府河,2020-05-30 12,3.20,0.170,0.129,66.8,7.26,7.60,--,III,Ⅴ,-,2020-05-30 15:05:02
黄龙溪,府河,2020-05-30 16,3.50,0.140,0.135,79.7,7.15,7.62,--,III,Ⅴ,-,2020-05-30 19:05:02
黄龙溪,府河,2020-05-30 20,3.40,0.140,0.129,77.8,7.23,7.60,--,III,Ⅴ,-,2020-05-30 23:05:02
黄龙溪,府河,2020-05-31 00,3.40,0.150,0.126,82.4,7.04,7.59,--,III,Ⅴ,-,2020-05-31 03:05:02
黄龙溪,府河,2020-05-31 04,3.30,0.120,0.126,69.6,7.15,7.61,--,III,Ⅴ,-,2020-05-31 07:05:02
黄龙溪,府河,2020-05-31 08,3.70,0.150,0.137,77.2,7.08,7.61,--,III,Ⅴ,-,2020-05-31 11:05:02
黄龙溪,府河,2020-05-31 12,3.40,0.160,0.134,76.3,7.12,7.58,--,III,Ⅴ,-,2020-05-31 15:05:03
黄龙溪,府河,2020-05-31 16,3.50,0.160,0.131,83.0,7.22,7.60,--,III,Ⅴ,-,2020-05-31 19:05:03
黄龙溪,府河,2020-05-31 20,3.50,0.160,0.152,65.3,7.13,7.60,--,III,Ⅴ,-,2020-05-31 23:05:02
黄龙溪,府河,2020-06-01 00,3.40,0.190,0.122,70.2,6.93,7.62,--,III,Ⅴ,-,2020-06-01 03:05:02
黄龙溪,府河,2020-06-01 04,3.40,0.150,0.118,74.5,7.17,7.63,--,III,Ⅴ,-,2020-06-01 07:05:02
黄龙溪,府河,2020-06-01 08,3.40,0.170,0.123,81.2,7.15,7.61,--,III,Ⅴ,-,2020-06-01 11:05:02
黄龙溪,府河,2020-06-01 12,3.80,0.210,0.127,106.5,6.94,7.55,--,III,Ⅴ,-,2020-06-01 15:05:02
黄龙溪,府河,2020-06-01 16,4.40,0.250,0.134,130.3,6.63,7.50,--,III,Ⅴ,-,2020-06-01 19:05:03
黄龙溪,府河,2020-06-01 20,4.10,0.220,0.129,114.7,6.86,7.52,--,III,Ⅴ,-,2020-06-01 23:05:02
黄龙溪,府河,2020-06-02 00,4.20,0.230,0.133,119.6,6.91,7.56,--,III,Ⅴ,-,2020-06-02 03:05:02
黄龙溪,府河,2020-06-02 04,4.40,0.250,0.130,124.2,7.04,7.53,--,III,Ⅴ,-,2020-06-02 07:05:03
黄龙溪,府河,2020-06-02 08,4.90,0.360,0.147,171.2,6.56,7.48,--,III,Ⅴ,-,2020-06-02 11:05:02
黄龙溪,府河,2020-06-02 12,4.40,0.300,0.136,119.6,7.11,7.49,--,III,Ⅴ,-,2020-06-02 15:05:03
黄龙溪,府河,2020-06-02 16,4.10,0.290,0.126,111.1,7.33,7.51,--,III,Ⅴ,-,2020-06-02 19:05:03
黄龙溪,府河,2020-06-02 20,5.50,0.240,0.154,170.3,7.11,7.50,--,III,Ⅴ,-,2020-06-02 23:05:02
黄龙溪,府河,2020-06-03 00,4.70,0.180,0.139,130.6,7.26,7.54,--,III,Ⅴ,-,2020-06-03 03:05:02
黄龙溪,府河,2020-06-03 04,4.50,0.210,0.138,112.3,7.35,7.56,--,III,Ⅴ,-,2020-06-03 07:05:03
黄龙溪,府河,2020-06-03 08,4.50,0.170,0.142,123.3,7.21,7.57,--,III,Ⅴ,-,2020-06-03 11:05:03
黄龙溪,府河,2020-06-03 12,NA,NA,NA,137.3,7.50,7.57,--,II,Ⅴ,-,2020-06-03 15:05:02
黄龙溪,府河,2020-06-03 16,4.10,0.170,0.130,102.2,7.60,7.59,--,III,Ⅴ,-,2020-06-03 19:05:03
黄龙溪,府河,2020-06-03 20,4.10,0.210,0.125,98.9,7.27,7.48,--,III,Ⅴ,-,2020-06-03 23:05:02
黄龙溪,府河,2020-06-04 00,4.10,0.160,0.121,87.6,7.13,7.52,--,III,Ⅴ,-,2020-06-04 03:05:02
黄龙溪,府河,2020-06-04 04,4.10,0.170,0.124,94.3,7.32,7.53,--,III,Ⅴ,-,2020-06-04 07:05:03
黄龙溪,府河,2020-06-04 08,4.10,0.190,0.139,99.5,7.31,7.53,--,III,Ⅴ,-,2020-06-04 11:05:03
黄龙溪,府河,2020-06-04 12,NA,0.130,0.145,95.5,7.18,7.49,--,III,Ⅴ,-,2020-06-04 15:05:02
黄龙溪,府河,2020-06-04 16,7.30,0.190,0.148,91.9,7.29,7.50,--,IV,Ⅴ,高锰酸盐指数,2020-06-04 19:05:03
黄龙溪,府河,2020-06-04 20,3.50,0.200,0.127,93.7,7.01,7.49,--,III,Ⅴ,-,2020-06-04 23:05:01
黄龙溪,府河,2020-06-05 00,3.50,0.140,0.111,82.4,6.78,7.49,--,III,Ⅴ,-,2020-06-05 03:05:02
黄龙溪,府河,2020-06-05 04,3.50,0.270,0.010,82.4,6.82,7.51,--,II,Ⅴ,-,2020-06-05 07:05:02
黄龙溪,府河,2020-06-05 08,3.50,0.140,0.118,87.0,6.77,7.48,--,III,Ⅴ,-,2020-06-05 11:05:03
黄龙溪,府河,2020-06-05 12,7.50,0.190,0.124,118.4,6.72,7.45,--,IV,Ⅴ,高锰酸盐指数,2020-06-05 15:05:02
黄龙溪,府河,2020-06-05 16,3.90,0.240,0.121,100.1,NA,7.45,--,III,Ⅴ,-,2020-06-05 19:05:02
黄龙溪,府河,2020-06-05 20,4.00,0.190,0.117,100.4,6.81,7.42,--,III,Ⅴ,-,2020-06-05 23:05:02
黄龙溪,府河,2020-06-06 00,4.10,0.160,0.113,99.8,6.65,7.46,--,III,Ⅴ,-,2020-06-06 03:05:02
黄龙溪,府河,2020-06-06 04,4.00,0.160,0.111,87.3,6.73,7.44,--,III,Ⅴ,-,2020-06-06 07:05:02
黄龙溪,府河,2020-06-06 08,4.10,0.180,0.119,93.1,6.53,7.44,--,III,Ⅴ,-,2020-06-06 11:05:02
黄龙溪,府河,2020-06-06 12,4.40,0.220,0.119,127.9,6.50,7.40,--,III,Ⅴ,-,2020-06-06 15:05:03
黄龙溪,府河,2020-06-06 16,4.30,0.220,0.117,97.0,6.50,7.40,--,III,Ⅴ,-,2020-06-06 19:05:02
黄龙溪,府河,2020-06-06 20,4.30,0.220,0.110,93.7,6.45,7.37,--,III,Ⅴ,-,2020-06-06 23:05:02
黄龙溪,府河,2020-06-07 00,4.20,0.150,0.119,92.2,6.54,7.39,--,III,Ⅴ,-,2020-06-07 03:05:02
黄龙溪,府河,2020-06-07 04,4.10,0.160,0.120,93.1,6.68,7.42,--,III,Ⅴ,-,2020-06-07 07:05:02
黄龙溪,府河,2020-06-07 08,4.30,0.200,0.127,94.6,6.43,7.41,--,III,Ⅴ,-,2020-06-07 11:05:02
黄龙溪,府河,2020-06-07 12,4.70,0.200,0.131,140.7,6.55,7.36,--,III,Ⅴ,-,2020-06-07 15:05:02
黄龙溪,府河,2020-06-07 16,5.00,0.230,0.134,142.2,6.37,7.34,--,III,Ⅴ,-,2020-06-07 19:05:02
黄龙溪,府河,2020-06-07 20,4.70,0.250,0.132,117.8,6.40,7.31,--,III,Ⅴ,-,2020-06-07 23:05:02
黄龙溪,府河,2020-06-08 00,5.00,0.180,0.126,118.1,6.54,7.35,--,III,Ⅴ,-,2020-06-08 03:05:02
