time,NH4_hlx,NH4_djy,WT_djy,NH4_ejs,WT_ejs,WT_hlx,Q_ZPP,H_wj,Q_wj
2020/1/12 4:00,0.69,0.062,9.82,0.67,10.36,11.2,2952000,486.593,312955.2
2020/1/12 8:00,1.11,0.066,9.39,0.84,10.4,11.3,2952000,486.607,313444.8
2020/1/12 12:00,0.73,0.061,12.43,0.85,11.13,11.8,2952000,486.62,313920
2020/1/12 16:00,2.34,0.059,10.86,0.62,11.59,12.2,2952000,486.633,314395.2
2020/1/12 20:00,0.69,0.067,10.33,0.83,11.98,12.1,2952000,486.647,314884.8
2020/1/13 0:00,1.05,0.066,10.05,1.31,11.85,11.9,3225600,486.66,315360
2020/1/13 4:00,0.6,0.067,9.85,1.15,11.58,11.7,3225600,486.665,315115.2
2020/1/13 8:00,0.91,0.066,9.73,1.36,11.7,11.9,3225600,486.67,314884.8
2020/1/13 12:00,1.01,0.074,10.56,0.92,11.46,12.1,3225600,486.675,314640
2020/1/13 16:00,0.71,0.069,10.49,0.65,11.84,11.9,3225600,486.68,314395.2
2020/1/13 20:00,0.87,0.064,9.92,0.9,11.48,12,3225600,486.685,314164.8
2020/1/14 0:00,0.81,0.075,9.99,0.86,11.31,11.7,2620800,486.69,313920
2020/1/14 4:00,0.75,0.071,9.82,1.05,11.25,11.5,2620800,486.692,312724.8
2020/1/14 8:00,0.95,0.073,9.37,0.98,10.96,11.4,2620800,486.693,311515.2
2020/1/14 12:00,0.88,0.071,10.5,0.71,10.94,11.5,2620800,486.695,310320
2020/1/14 16:00,0.82,0.071,10.18,0.87,11.25,11.6,2620800,486.697,309124.8
2020/1/14 20:00,0.96,0.067,9.88,0.88,11.18,11.5,2620800,486.698,307915.2
2020/1/15 0:00,0.91,0.072,9.76,0.81,10.9,11.3,3758400,486.7,306720
2020/1/15 4:00,0.75,0.07,9.42,1.01,10.87,11.7,3758400,486.697,308635.2
2020/1/15 8:00,0.89,0.075,9.18,0.95,10.63,11.2,3758400,486.693,310564.8
2020/1/15 12:00,0.94,0.074,9.78,0.98,10.95,11.3,3758400,486.69,312480
2020/1/15 16:00,0.82,0.073,9.45,0.74,10.51,11.3,3758400,486.687,314395.2
2020/1/15 20:00,0.99,0.079,9.63,1.07,10.69,11.2,3758400,486.683,316324.8
2020/1/16 0:00,1.25,0.072,9.56,0.89,10.55,11.1,3643200,486.68,318240
2020/1/16 4:00,0.95,0.065,9.36,0.88,10.55,11,3643200,486.682,318960
2020/1/16 8:00,1.14,0.07,8.8,0.96,10.4,11.5,3643200,486.683,319680
2020/1/16 12:00,1.12,0.076,10.9,0.89,10.96,11.1,3643200,486.685,320400
2020/1/16 16:00,0.93,0.071,10.59,0.69,11.41,11.5,3643200,486.687,321120
2020/1/16 20:00,1.08,0.074,9.96,0.78,11.14,11.4,3643200,486.688,321840
2020/1/17 0:00,1,0.076,9.71,0.53,10.89,11.2,2880000,486.69,322560
2020/1/17 4:00,0.87,0.073,9.31,0.93,11.13,11.1,2880000,486.697,318960
2020/1/17 8:00,1.08,0.07,9.38,0.8,10.82,11.5,2880000,486.703,315360
2020/1/17 12:00,0.92,0.075,9.87,0.76,11.03,11.6,2880000,486.71,311760
2020/1/17 16:00,0.8,0.074,9.99,0.68,11.17,11.9,2880000,486.717,308160
2020/1/17 20:00,0.99,0.074,9.64,0.68,11.25,11.7,2880000,486.723,304560
2020/1/18 0:00,1.02,0.072,9.52,0.56,11,12.2,2779200,486.73,300960
2020/1/18 4:00,0.77,0.075,9.46,0.87,11.04,11.2,2779200,486.737,295920
2020/1/18 8:00,1,0.072,9.06,0.81,10.98,11.5,2779200,486.743,290880
2020/1/18 12:00,1.08,0.049,9.55,0.89,11.03,11.3,2779200,486.75,285840
2020/1/18 16:00,0.89,0.048,10.09,0.7,11.42,11.5,2779200,486.757,280800
2020/1/18 20:00,1.06,0.043,9.46,0.8,11.48,11.4,2779200,486.763,275760
2020/1/19 0:00,1.06,0.05,9.39,0.8,11.02,11.2,2880000,486.77,270720
2020/1/19 4:00,0.79,0.047,9.36,0.85,10.87,11,2880000,486.772,269280
2020/1/19 8:00,1.02,0.042,9.05,0.89,10.88,10.9,2880000,486.773,267840
2020/1/19 12:00,1.79,0.042,12.84,0.66,10.87,11.3,2880000,486.775,266400
2020/1/19 16:00,0.85,0.039,10.9,0.72,11.87,12,2880000,486.777,264960
2020/1/19 20:00,0.78,0.042,9.93,0.79,11.84,11.9,2880000,486.778,263520
2020/1/20 0:00,0.89,0.043,9.65,0.73,11.55,11.7,2764800,486.78,262080
2020/1/20 4:00,0.74,0.04,9.6,0.88,11.44,11.3,2764800,486.783,262080
2020/1/20 8:00,0.97,0.038,9.34,0.92,11.27,11.3,2764800,486.787,262080
2020/1/20 12:00,1,0.04,13.2,0.85,11.43,12,2764800,486.79,262080
2020/1/20 16:00,0.8,0.038,10.47,0.7,11.97,12.1,2764800,486.793,262080
2020/1/20 20:00,0.84,0.041,9.91,0.73,11.98,12.1,2764800,486.797,262080
2020/1/21 0:00,0.98,0.045,9.71,0.75,11.83,11.9,2822400,486.8,262080
2020/1/21 4:00,0.69,0.047,9.35,0.73,11.71,11.6,2822400,486.812,261360
2020/1/21 8:00,0.88,0.054,9.32,0.74,11.53,11.7,2822400,486.823,260640
2020/1/21 12:00,0.82,0.051,12.38,0.71,11.74,11.9,2822400,486.835,259920
2020/1/21 16:00,0.72,0.048,10.33,0.67,12.46,12.3,2822400,486.847,259200
2020/1/21 20:00,0.62,0.05,9.89,0.98,12.54,12.3,2822400,486.858,258480
2020/1/22 0:00,0.69,0.052,9.63,1.35,12.47,12.1,2793600,486.87,257760
2020/1/22 4:00,0.61,0.05,9.63,0.86,11.98,12,2793600,486.882,254635.2
2020/1/22 8:00,0.65,0.049,9.48,0.68,11.85,11.7,2793600,486.893,251524.8
2020/1/22 12:00,0.72,0.055,11.66,0.41,12,13.2,2793600,486.905,248400
2020/1/22 16:00,0.61,0.051,10.72,0.4,12.26,12.9,2793600,486.917,245275.2
2020/1/22 20:00,0.52,0.052,9.9,0.57,12.02,12.8,2793600,486.928,242164.8
